Time hh:mm:ss tt,Game Time ss.,Event
Time: 09:37:25 AM,Game Time: 177.8288,Water Flow Sensor percentage changed From:8.8% To: 8.9%
Time: 09:37:26 AM,Game Time: 177.8955,Water Flow Sensor percentage changed From:1.2% To: 1.3%
Time: 09:37:26 AM,Game Time: 178.0622,Water Flow Sensor percentage changed From:4.3% To: 4.4%
Time: 09:37:26 AM,Game Time: 178.0955,Water Flow Sensor percentage changed From:8.9% To: 9%
Time: 09:37:26 AM,Game Time: 178.1288,Water Flow Sensor percentage changed From:9% To: 9.1%
Time: 09:37:26 AM,Game Time: 178.1955,Water Flow Sensor percentage changed From:9.1% To: 9.2%
Time: 09:37:26 AM,Game Time: 178.2288,Water Flow Sensor percentage changed From:4.4% To: 4.5%
Time: 09:37:27 AM,Game Time: 178.4622,Water Flow Sensor percentage changed From:9.2% To: 9.3%
Time: 09:37:27 AM,Game Time: 178.6955,Water Flow Sensor percentage changed From:9.3% To: 9.5%
Time: 09:37:27 AM,Game Time: 178.8288,Water Flow Sensor percentage changed From:9.5% To: 9.6%
Time: 09:37:27 AM,Game Time: 178.8288,Water Flow Sensor percentage changed From:4.5% To: 4.6%
Time: 09:37:27 AM,Game Time: 178.8622,Water Flow Sensor percentage changed From:9.6% To: 9.7%
Time: 09:37:28 AM,Game Time: 179.0622,Rainfall Initiated. Button Pressed
Time: 09:37:28 AM,Game Time: 179.0622,Water Flow Sensor percentage changed From:9.7% To: 0%
Time: 09:37:28 AM,Game Time: 179.0622,Water Flow Sensor percentage changed From:4.6% To: 0%
Time: 09:37:28 AM,Game Time: 179.0622,Water Flow Sensor percentage changed From:1.3% To: 0%
Time: 09:37:28 AM,Game Time: 179.0622,Water Flow Sensor percentage changed From:1.3% To: 0%
Time: 09:37:28 AM,Game Time: 179.0622,Water Flow Sensor percentage changed From:1.5% To: 0%
Time: 09:37:28 AM,Game Time: 179.4913,Rainfall Initiated. Button Pressed
Time: 09:37:32 AM,Game Time: 182.7473,Water Sensor Placed
Time: 09:37:35 AM,Game Time: 186.1204,Water Flow Sensor percentage changed From:0% To: 0.1%
Time: 09:37:35 AM,Game Time: 186.3236,Water Flow Sensor percentage changed From:0% To: 0.1%
Time: 09:37:35 AM,Game Time: 186.3554,Water Flow Sensor percentage changed From:0% To: 0.1%
Time: 09:37:35 AM,Game Time: 186.4353,Water Flow Sensor percentage changed From:0% To: 0.1%
Time: 09:37:35 AM,Game Time: 186.4353,Water Flow Sensor percentage changed From:0.1% To: 0.2%
Time: 09:37:35 AM,Game Time: 186.4833,Water Flow Sensor percentage changed From:0% To: 0.1%
Time: 09:37:36 AM,Game Time: 186.6194,Water Flow Sensor percentage changed From:0% To: 0.1%
Time: 09:37:36 AM,Game Time: 186.707,Water Flow Sensor percentage changed From:0.1% To: 0.2%
Time: 09:37:36 AM,Game Time: 186.8235,Water Flow Sensor percentage changed From:0.1% To: 0.3%
Time: 09:37:36 AM,Game Time: 186.8568,Water Flow Sensor percentage changed From:0.1% To: 0.2%
Time: 09:37:36 AM,Game Time: 186.9176,Water Flow Sensor percentage changed From:0.2% To: 0.3%
Time: 09:37:36 AM,Game Time: 186.9176,Water Flow Sensor percentage changed From:0.2% To: 0.3%
Time: 09:37:36 AM,Game Time: 186.9176,Water Flow Sensor percentage changed From:0.1% To: 0.2%
Time: 09:37:36 AM,Game Time: 186.9509,Water Flow Sensor percentage changed From:0.1% To: 0.2%
Time: 09:37:36 AM,Game Time: 186.9843,Water Flow Sensor percentage changed From:0.2% To: 0.3%
Time: 09:37:36 AM,Game Time: 187.0504,Water Flow Sensor percentage changed From:0.3% To: 0.4%
Time: 09:37:36 AM,Game Time: 187.2104,Water Flow Sensor percentage changed From:0.2% To: 0.3%
Time: 09:37:36 AM,Game Time: 187.2437,Water Flow Sensor percentage changed From:0.3% To: 0.4%
Time: 09:37:36 AM,Game Time: 187.2437,Water Flow Sensor percentage changed From:0.3% To: 0.4%
Time: 09:37:36 AM,Game Time: 187.337,Water Flow Sensor percentage changed From:0.2% To: 0.3%
Time: 09:37:36 AM,Game Time: 187.4034,Water Flow Sensor percentage changed From:0.4% To: 0.5%
Time: 09:37:36 AM,Game Time: 187.4649,Water Flow Sensor percentage changed From:0.3% To: 0.5%
Time: 09:37:36 AM,Game Time: 187.4982,Water Flow Sensor percentage changed From:0.3% To: 0.4%
Time: 09:37:37 AM,Game Time: 187.5311,Water Flow Sensor percentage changed From:0.4% To: 0.5%
Time: 09:37:37 AM,Game Time: 187.6255,Water Flow Sensor percentage changed From:0.4% To: 0.5%
Time: 09:37:37 AM,Game Time: 187.6589,Water Flow Sensor percentage changed From:0.4% To: 0.5%
Time: 09:37:37 AM,Game Time: 187.8232,Water Flow Sensor percentage changed From:0.5% To: 0.6%
Time: 09:37:37 AM,Game Time: 187.8232,Water Flow Sensor percentage changed From:0.5% To: 0.6%
Time: 09:37:37 AM,Game Time: 187.9219,Water Flow Sensor percentage changed From:0.5% To: 0.6%
Time: 09:37:37 AM,Game Time: 187.9219,Water Flow Sensor percentage changed From:0.6% To: 0.7%
Time: 09:37:37 AM,Game Time: 188.0885,Water Flow Sensor percentage changed From:0.6% To: 0.7%
Time: 09:37:37 AM,Game Time: 188.0885,Water Flow Sensor percentage changed From:0.7% To: 0.8%
Time: 09:37:37 AM,Game Time: 188.1552,Water Flow Sensor percentage changed From:0.5% To: 0.6%
Time: 09:37:37 AM,Game Time: 188.1872,Water Flow Sensor percentage changed From:0.6% To: 0.7%
Time: 09:37:37 AM,Game Time: 188.2205,Water Flow Sensor percentage changed From:0.3% To: 0.4%
Time: 09:37:38 AM,Game Time: 188.419,Water Flow Sensor percentage changed From:0.7% To: 0.8%
Time: 09:37:38 AM,Game Time: 188.4508,Water Flow Sensor percentage changed From:0.8% To: 0.9%
Time: 09:37:38 AM,Game Time: 188.4841,Water Flow Sensor percentage changed From:0.7% To: 0.8%
Time: 09:37:38 AM,Game Time: 188.5174,Water Flow Sensor percentage changed From:0.8% To: 0.9%
Time: 09:37:38 AM,Game Time: 188.55,Water Flow Sensor percentage changed From:0.5% To: 0.6%
Time: 09:37:38 AM,Game Time: 188.6834,Water Flow Sensor percentage changed From:0.6% To: 0.7%
Time: 09:37:38 AM,Game Time: 188.8485,Water Flow Sensor percentage changed From:0.7% To: 0.8%
Time: 09:37:38 AM,Game Time: 188.8819,Water Flow Sensor percentage changed From:0.8% To: 0.9%
Time: 09:37:38 AM,Game Time: 188.9152,Water Flow Sensor percentage changed From:0.8% To: 0.9%
Time: 09:37:38 AM,Game Time: 188.9152,Water Flow Sensor percentage changed From:0.6% To: 0.7%
Time: 09:37:38 AM,Game Time: 188.9485,Water Flow Sensor percentage changed From:0.9% To: 1%
Time: 09:37:38 AM,Game Time: 188.9485,Water Flow Sensor percentage changed From:0.9% To: 1%
Time: 09:37:38 AM,Game Time: 189.0485,Water Flow Sensor percentage changed From:1% To: 1.1%
Time: 09:37:38 AM,Game Time: 189.0485,Water Flow Sensor percentage changed From:0.7% To: 0.8%
Time: 09:37:38 AM,Game Time: 189.1152,Water Flow Sensor percentage changed From:0.8% To: 0.9%
Time: 09:37:39 AM,Game Time: 189.4473,Water Flow Sensor percentage changed From:0.4% To: 0.5%
Time: 09:37:39 AM,Game Time: 189.6806,Water Flow Sensor percentage changed From:0.9% To: 1%
Time: 09:37:39 AM,Game Time: 189.7139,Water Flow Sensor percentage changed From:0.9% To: 1%
Time: 09:37:39 AM,Game Time: 189.7473,Water Flow Sensor percentage changed From:1.1% To: 1.2%
Time: 09:37:39 AM,Game Time: 189.7806,Water Flow Sensor percentage changed From:1% To: 1.1%
Time: 09:37:39 AM,Game Time: 189.7806,Water Flow Sensor percentage changed From:1% To: 1.1%
Time: 09:37:40 AM,Game Time: 189.9806,Water Flow Sensor percentage changed From:1.1% To: 1.2%
Time: 09:37:40 AM,Game Time: 190.0473,Water Flow Sensor percentage changed From:1.2% To: 1.3%
Time: 09:37:40 AM,Game Time: 190.1473,Water Flow Sensor percentage changed From:1.2% To: 1.3%
Time: 09:37:40 AM,Game Time: 190.1806,Water Flow Sensor percentage changed From:1.3% To: 1.4%
Time: 09:37:40 AM,Game Time: 190.2473,Water Flow Sensor percentage changed From:1.4% To: 1.5%
Time: 09:37:40 AM,Game Time: 190.2806,Water Flow Sensor percentage changed From:1% To: 1.1%
Time: 09:37:40 AM,Game Time: 190.5473,Water Flow Sensor percentage changed From:0.9% To: 1%
Time: 09:37:40 AM,Game Time: 190.5806,Water Flow Sensor percentage changed From:1% To: 1.1%
Time: 09:37:40 AM,Game Time: 190.6139,Water Flow Sensor percentage changed From:0.5% To: 0.6%
Time: 09:37:41 AM,Game Time: 190.6806,Water Flow Sensor percentage changed From:1.5% To: 1.6%
Time: 09:37:41 AM,Game Time: 190.6806,Water Flow Sensor percentage changed From:1.1% To: 1.2%
Time: 09:37:41 AM,Game Time: 190.7473,Water Flow Sensor percentage changed From:0.6% To: 0.7%
Time: 09:37:41 AM,Game Time: 190.7473,Water Flow Sensor percentage changed From:1.2% To: 1.3%
Time: 09:37:41 AM,Game Time: 190.7806,Water Flow Sensor percentage changed From:1.6% To: 1.7%
Time: 09:37:41 AM,Game Time: 190.9139,Water Flow Sensor percentage changed From:1.7% To: 1.9%
Time: 09:37:41 AM,Game Time: 191.0139,Water Flow Sensor percentage changed From:1.9% To: 2%
Time: 09:37:41 AM,Game Time: 191.0473,Water Flow Sensor percentage changed From:2% To: 2.1%
Time: 09:37:41 AM,Game Time: 191.0473,Water Flow Sensor percentage changed From:1.3% To: 1.4%
Time: 09:37:41 AM,Game Time: 191.1139,Water Flow Sensor percentage changed From:1.3% To: 1.4%
Time: 09:37:41 AM,Game Time: 191.1806,Water Flow Sensor percentage changed From:1.4% To: 1.5%
Time: 09:37:41 AM,Game Time: 191.2806,Water Flow Sensor percentage changed From:1.4% To: 1.5%
Time: 09:37:41 AM,Game Time: 191.2806,Water Flow Sensor percentage changed From:0.7% To: 0.8%
Time: 09:37:41 AM,Game Time: 191.3473,Water Flow Sensor percentage changed From:0.8% To: 0.9%
Time: 09:37:41 AM,Game Time: 191.3473,Water Flow Sensor percentage changed From:1.1% To: 1.2%
Time: 09:37:42 AM,Game Time: 191.3806,Water Flow Sensor percentage changed From:2.1% To: 2.2%
Time: 09:37:42 AM,Game Time: 191.3806,Water Flow Sensor percentage changed From:1.1% To: 1.2%
Time: 09:37:42 AM,Game Time: 191.4473,Water Flow Sensor percentage changed From:2.2% To: 2.3%
Time: 09:37:42 AM,Game Time: 191.4473,Water Flow Sensor percentage changed From:1.2% To: 1.3%
Time: 09:37:42 AM,Game Time: 191.5139,Water Flow Sensor percentage changed From:1.5% To: 1.7%
Time: 09:37:42 AM,Game Time: 191.5806,Water Flow Sensor percentage changed From:1.7% To: 1.8%
Time: 09:37:42 AM,Game Time: 191.8806,Water Flow Sensor percentage changed From:1.5% To: 1.6%
Time: 09:37:42 AM,Game Time: 191.9473,Water Flow Sensor percentage changed From:1.8% To: 1.9%
Time: 09:37:42 AM,Game Time: 191.9473,Water Flow Sensor percentage changed From:1.6% To: 1.7%
Time: 09:37:43 AM,Game Time: 192.0473,Water Flow Sensor percentage changed From:2.3% To: 2.4%
Time: 09:37:43 AM,Game Time: 192.0806,Water Flow Sensor percentage changed From:1.7% To: 1.8%
Time: 09:37:43 AM,Game Time: 192.1473,Water Flow Sensor percentage changed From:1.3% To: 1.4%
Time: 09:37:43 AM,Game Time: 192.1806,Water Flow Sensor percentage changed From:2.4% To: 2.5%
Time: 09:37:43 AM,Game Time: 192.1806,Water Flow Sensor percentage changed From:1.8% To: 1.9%
Time: 09:37:43 AM,Game Time: 192.2139,Water Flow Sensor percentage changed From:2.5% To: 2.6%
Time: 09:37:43 AM,Game Time: 192.2139,Water Flow Sensor percentage changed From:1.2% To: 1.3%
Time: 09:37:43 AM,Game Time: 192.2806,Water Flow Sensor percentage changed From:2.6% To: 2.7%
Time: 09:37:43 AM,Game Time: 192.3473,Water Flow Sensor percentage changed From:2.7% To: 2.8%
Time: 09:37:43 AM,Game Time: 192.3806,Water Flow Sensor percentage changed From:2.8% To: 2.9%
Time: 09:37:43 AM,Game Time: 192.3806,Water Flow Sensor percentage changed From:1.9% To: 2%
Time: 09:37:43 AM,Game Time: 192.5139,Water Flow Sensor percentage changed From:2.9% To: 3%
Time: 09:37:43 AM,Game Time: 192.5139,Water Flow Sensor percentage changed From:1.9% To: 2%
Time: 09:37:43 AM,Game Time: 192.6473,Water Flow Sensor percentage changed From:3% To: 3.1%
Time: 09:37:43 AM,Game Time: 192.6473,Water Flow Sensor percentage changed From:2% To: 2.1%
Time: 09:37:44 AM,Game Time: 192.7473,Water Flow Sensor percentage changed From:3.1% To: 3.3%
Time: 09:37:44 AM,Game Time: 192.7473,Water Flow Sensor percentage changed From:2.1% To: 2.3%
Time: 09:37:44 AM,Game Time: 192.7806,Water Flow Sensor percentage changed From:2.3% To: 2.4%
Time: 09:37:44 AM,Game Time: 192.8473,Water Flow Sensor percentage changed From:2.4% To: 2.5%
Time: 09:37:44 AM,Game Time: 192.9806,Water Flow Sensor percentage changed From:3.3% To: 3.4%
Time: 09:37:44 AM,Game Time: 193.0473,Water Flow Sensor percentage changed From:2.5% To: 2.6%
Time: 09:37:44 AM,Game Time: 193.1473,Water Flow Sensor percentage changed From:2.6% To: 2.7%
Time: 09:37:44 AM,Game Time: 193.2473,Water Flow Sensor percentage changed From:3.4% To: 3.5%
Time: 09:37:45 AM,Game Time: 193.3806,Water Flow Sensor percentage changed From:3.5% To: 3.6%
Time: 09:37:45 AM,Game Time: 193.3806,Water Flow Sensor percentage changed From:2.7% To: 2.8%
Time: 09:37:45 AM,Game Time: 193.4473,Water Flow Sensor percentage changed From:3.6% To: 3.7%
Time: 09:37:45 AM,Game Time: 193.4473,Water Flow Sensor percentage changed From:1.4% To: 1.5%
Time: 09:37:45 AM,Game Time: 193.6473,Water Flow Sensor percentage changed From:2% To: 2.1%
Time: 09:37:45 AM,Game Time: 193.6473,Water Flow Sensor percentage changed From:2.8% To: 2.9%
Time: 09:37:45 AM,Game Time: 193.7473,Water Flow Sensor percentage changed From:3.7% To: 3.8%
Time: 09:37:45 AM,Game Time: 193.7473,Water Flow Sensor percentage changed From:1.5% To: 1.7%
Time: 09:37:45 AM,Game Time: 193.7473,Water Flow Sensor percentage changed From:2.9% To: 3%
Time: 09:37:45 AM,Game Time: 193.7806,Water Flow Sensor percentage changed From:3% To: 3.1%
Time: 09:37:45 AM,Game Time: 193.8473,Water Flow Sensor percentage changed From:3.1% To: 3.2%
Time: 09:37:45 AM,Game Time: 193.8806,Water Flow Sensor percentage changed From:3.8% To: 3.9%
Time: 09:37:46 AM,Game Time: 193.9473,Water Flow Sensor percentage changed From:3.2% To: 3.3%
Time: 09:37:46 AM,Game Time: 193.9806,Water Flow Sensor percentage changed From:3.9% To: 4.1%
Time: 09:37:46 AM,Game Time: 194.1139,Water Flow Sensor percentage changed From:4.1% To: 4.2%
Time: 09:37:46 AM,Game Time: 194.1473,Water Flow Sensor percentage changed From:3.3% To: 3.4%
Time: 09:37:46 AM,Game Time: 194.1806,Water Flow Sensor percentage changed From:2.1% To: 2.2%
Time: 09:37:46 AM,Game Time: 194.1806,Water Flow Sensor percentage changed From:3.4% To: 3.5%
Time: 09:37:46 AM,Game Time: 194.2806,Water Flow Sensor percentage changed From:4.2% To: 4.3%
Time: 09:37:46 AM,Game Time: 194.2806,Water Flow Sensor percentage changed From:2.2% To: 2.3%
Time: 09:37:46 AM,Game Time: 194.3139,Water Flow Sensor percentage changed From:1.3% To: 1.4%
Time: 09:37:46 AM,Game Time: 194.3473,Water Flow Sensor percentage changed From:4.3% To: 4.5%
Time: 09:37:46 AM,Game Time: 194.3806,Water Flow Sensor percentage changed From:3.5% To: 3.6%
Time: 09:37:46 AM,Game Time: 194.4139,Water Flow Sensor percentage changed From:3.6% To: 3.7%
Time: 09:37:46 AM,Game Time: 194.5139,Water Flow Sensor percentage changed From:4.5% To: 4.6%
Time: 09:37:46 AM,Game Time: 194.5139,Water Flow Sensor percentage changed From:3.7% To: 3.9%
Time: 09:37:47 AM,Game Time: 194.6473,Water Flow Sensor percentage changed From:4.6% To: 4.7%
Time: 09:37:47 AM,Game Time: 194.6473,Water Flow Sensor percentage changed From:3.9% To: 4%
Time: 09:37:47 AM,Game Time: 194.6806,Water Sensor Placed
Time: 09:37:47 AM,Game Time: 194.7139,Water Flow Sensor percentage changed From:4% To: 4.1%
Time: 09:37:47 AM,Game Time: 194.7473,Water Flow Sensor percentage changed From:4.7% To: 4.8%
Time: 09:37:47 AM,Game Time: 194.7473,Water Flow Sensor percentage changed From:0.9% To: 1%
Time: 09:37:47 AM,Game Time: 194.8139,Water Flow Sensor percentage changed From:4.8% To: 4.9%
Time: 09:37:47 AM,Game Time: 194.8806,Water Flow Sensor percentage changed From:4.1% To: 4.2%
Time: 09:37:47 AM,Game Time: 194.9473,Water Flow Sensor percentage changed From:4.2% To: 4.3%
Time: 09:37:47 AM,Game Time: 195.0139,Water Flow Sensor percentage changed From:4.9% To: 5%
Time: 09:37:47 AM,Game Time: 195.0806,Water Flow Sensor percentage changed From:5% To: 5.2%
Time: 09:37:47 AM,Game Time: 195.0806,Water Flow Sensor percentage changed From:4.3% To: 4.4%
Time: 09:37:48 AM,Game Time: 195.1139,Water Flow Sensor percentage changed From:4.4% To: 4.5%
Time: 09:37:48 AM,Game Time: 195.1473,Water Flow Sensor percentage changed From:5.2% To: 5.3%
Time: 09:37:48 AM,Game Time: 195.2473,Water Flow Sensor percentage changed From:0% To: 0.3%
Time: 09:37:48 AM,Game Time: 195.2806,Water Flow Sensor percentage changed From:1% To: 1.1%
Time: 09:37:48 AM,Game Time: 195.2806,Water Flow Sensor percentage changed From:0.3% To: 1.5%
Time: 09:37:48 AM,Game Time: 195.3139,Water Flow Sensor percentage changed From:1.5% To: 2.5%
Time: 09:37:48 AM,Game Time: 195.3473,Water Flow Sensor percentage changed From:4.5% To: 4.6%
Time: 09:37:48 AM,Game Time: 195.3473,Water Flow Sensor percentage changed From:2.5% To: 3.9%
Time: 09:37:48 AM,Game Time: 195.3806,Water Flow Sensor percentage changed From:4.6% To: 4.8%
Time: 09:37:48 AM,Game Time: 195.3806,Water Flow Sensor percentage changed From:3.9% To: 4.9%
Time: 09:37:48 AM,Game Time: 195.4139,Water Flow Sensor percentage changed From:4.9% To: 6.1%
Time: 09:37:48 AM,Game Time: 195.4806,Water Flow Sensor percentage changed From:4.8% To: 4.9%
Time: 09:37:48 AM,Game Time: 195.5139,Water Flow Sensor percentage changed From:2.3% To: 2.5%
Time: 09:37:48 AM,Game Time: 195.5806,Water Flow Sensor percentage changed From:4.9% To: 5%
Time: 09:37:48 AM,Game Time: 195.6139,Water Flow Sensor percentage changed From:2.5% To: 2.6%
Time: 09:37:49 AM,Game Time: 195.7139,Water Flow Sensor percentage changed From:5% To: 5.1%
Time: 09:37:49 AM,Game Time: 195.7473,Water Flow Sensor percentage changed From:2.6% To: 2.7%
Time: 09:37:49 AM,Game Time: 195.7473,Water Flow Sensor percentage changed From:6.1% To: 6.2%
Time: 09:37:49 AM,Game Time: 195.8139,Water Flow Sensor percentage changed From:5.1% To: 5.2%
Time: 09:37:49 AM,Game Time: 195.8139,Water Flow Sensor percentage changed From:6.2% To: 6.3%
Time: 09:37:49 AM,Game Time: 195.8473,Water Flow Sensor percentage changed From:5.2% To: 5.3%
Time: 09:37:49 AM,Game Time: 195.8806,Water Flow Sensor percentage changed From:5.3% To: 5.5%
Time: 09:37:49 AM,Game Time: 195.9139,Water Flow Sensor percentage changed From:6.3% To: 6.4%
Time: 09:37:49 AM,Game Time: 195.9806,Water Flow Sensor percentage changed From:2.7% To: 2.8%
Time: 09:37:49 AM,Game Time: 196.1472,Water Flow Sensor percentage changed From:5.5% To: 5.6%
Time: 09:37:49 AM,Game Time: 196.1806,Water Flow Sensor percentage changed From:6.4% To: 6.5%
Time: 09:37:49 AM,Game Time: 196.2139,Water Flow Sensor percentage changed From:5.6% To: 5.7%
Time: 09:37:49 AM,Game Time: 196.2473,Water Flow Sensor percentage changed From:5.3% To: 5.4%
Time: 09:37:49 AM,Game Time: 196.2473,Water Flow Sensor percentage changed From:6.5% To: 6.7%
Time: 09:37:50 AM,Game Time: 196.3473,Water Flow Sensor percentage changed From:5.7% To: 5.9%
Time: 09:37:50 AM,Game Time: 196.4139,Water Flow Sensor percentage changed From:2.8% To: 2.9%
Time: 09:37:50 AM,Game Time: 196.4473,Water Flow Sensor percentage changed From:5.9% To: 6%
Time: 09:37:50 AM,Game Time: 196.4473,Water Flow Sensor percentage changed From:6.7% To: 6.8%
Time: 09:37:50 AM,Game Time: 196.4806,Water Flow Sensor percentage changed From:2.9% To: 3%
Time: 09:37:50 AM,Game Time: 196.5473,Water Flow Sensor percentage changed From:6.8% To: 6.9%
Time: 09:37:50 AM,Game Time: 196.6472,Water Flow Sensor percentage changed From:3% To: 3.1%
Time: 09:37:50 AM,Game Time: 196.6806,Water Flow Sensor percentage changed From:5.4% To: 5.5%
Time: 09:37:50 AM,Game Time: 196.6806,Water Flow Sensor percentage changed From:6% To: 6.1%
Time: 09:37:50 AM,Game Time: 196.7139,Water Flow Sensor percentage changed From:1.1% To: 1.2%
Time: 09:37:50 AM,Game Time: 196.7806,Water Flow Sensor percentage changed From:6.1% To: 6.3%
Time: 09:37:50 AM,Game Time: 196.8139,Water Flow Sensor percentage changed From:5.5% To: 5.6%
Time: 09:37:51 AM,Game Time: 196.8806,Water Flow Sensor percentage changed From:5.6% To: 5.7%
Time: 09:37:51 AM,Game Time: 196.9139,Water Sensor Placed
Time: 09:37:51 AM,Game Time: 196.9806,Water Flow Sensor percentage changed From:0% To: 0.7%
Time: 09:37:51 AM,Game Time: 197.0473,Water Flow Sensor percentage changed From:1.2% To: 1.3%
Time: 09:37:51 AM,Game Time: 197.0806,Water Flow Sensor percentage changed From:6.3% To: 6.4%
Time: 09:37:51 AM,Game Time: 197.1139,Water Flow Sensor percentage changed From:0.7% To: 2.3%
Time: 09:37:51 AM,Game Time: 197.1472,Water Flow Sensor percentage changed From:2.3% To: 3.5%
Time: 09:37:51 AM,Game Time: 197.1806,Water Flow Sensor percentage changed From:3.1% To: 3.2%
Time: 09:37:51 AM,Game Time: 197.1806,Water Flow Sensor percentage changed From:6.4% To: 6.5%
Time: 09:37:51 AM,Game Time: 197.1806,Water Flow Sensor percentage changed From:3.5% To: 4.5%
Time: 09:37:51 AM,Game Time: 197.2139,Water Flow Sensor percentage changed From:4.5% To: 6%
Time: 09:37:51 AM,Game Time: 197.2473,Water Flow Sensor percentage changed From:6% To: 7.9%
Time: 09:37:51 AM,Game Time: 197.2806,Water Flow Sensor percentage changed From:5.7% To: 5.9%
Time: 09:37:51 AM,Game Time: 197.3139,Water Flow Sensor percentage changed From:7.9% To: 8.3%
Time: 09:37:51 AM,Game Time: 197.3473,Water Flow Sensor percentage changed From:6.5% To: 6.7%
Time: 09:37:51 AM,Game Time: 197.3806,Water Flow Sensor percentage changed From:8.3% To: 8.5%
Time: 09:37:52 AM,Game Time: 197.4473,Water Flow Sensor percentage changed From:1.7% To: 1.8%
Time: 09:37:52 AM,Game Time: 197.4473,Water Flow Sensor percentage changed From:8.5% To: 8.7%
Time: 09:37:52 AM,Game Time: 197.4806,Water Flow Sensor percentage changed From:8.7% To: 9.8%
Time: 09:37:52 AM,Game Time: 197.5139,Water Flow Sensor percentage changed From:9.8% To: 10.3%
Time: 09:37:52 AM,Game Time: 197.6139,Water Flow Sensor percentage changed From:5.9% To: 6%
Time: 09:37:52 AM,Game Time: 197.6472,Water Flow Sensor percentage changed From:6% To: 6.1%
Time: 09:37:52 AM,Game Time: 197.6472,Water Flow Sensor percentage changed From:3.2% To: 3.3%
Time: 09:37:52 AM,Game Time: 197.6472,Water Flow Sensor percentage changed From:6.7% To: 6.8%
Time: 09:37:52 AM,Game Time: 197.6472,Water Flow Sensor percentage changed From:10.3% To: 10.7%
Time: 09:37:52 AM,Game Time: 197.6806,Water Flow Sensor percentage changed From:6.8% To: 6.9%
Time: 09:37:52 AM,Game Time: 197.6806,Water Flow Sensor percentage changed From:10.7% To: 10.9%
Time: 09:37:52 AM,Game Time: 197.7139,Water Flow Sensor percentage changed From:6.9% To: 7%
Time: 09:37:52 AM,Game Time: 197.7806,Water Flow Sensor percentage changed From:6.9% To: 7%
Time: 09:37:52 AM,Game Time: 197.8139,Water Flow Sensor percentage changed From:10.9% To: 11.1%
Time: 09:37:52 AM,Game Time: 197.8473,Water Flow Sensor percentage changed From:11.1% To: 11.6%
Time: 09:37:52 AM,Game Time: 197.9473,Water Flow Sensor percentage changed From:11.6% To: 11.7%
Time: 09:37:53 AM,Game Time: 198.0473,Water Flow Sensor percentage changed From:7% To: 7.1%
Time: 09:37:53 AM,Game Time: 198.0806,Water Flow Sensor percentage changed From:6.1% To: 6.2%
Time: 09:37:53 AM,Game Time: 198.0806,Water Flow Sensor percentage changed From:7% To: 7.1%
Time: 09:37:53 AM,Game Time: 198.0806,Water Flow Sensor percentage changed From:11.7% To: 12%
Time: 09:37:53 AM,Game Time: 198.1806,Water Flow Sensor percentage changed From:7.1% To: 7.2%
Time: 09:37:53 AM,Game Time: 198.1806,Water Flow Sensor percentage changed From:12% To: 12.1%
Time: 09:37:53 AM,Game Time: 198.2473,Water Flow Sensor percentage changed From:3.3% To: 3.4%
Time: 09:37:53 AM,Game Time: 198.2473,Water Flow Sensor percentage changed From:7.2% To: 7.3%
Time: 09:37:53 AM,Game Time: 198.2473,Water Flow Sensor percentage changed From:12.1% To: 12.3%
Time: 09:37:53 AM,Game Time: 198.2806,Water Flow Sensor percentage changed From:12.3% To: 12.6%
Time: 09:37:53 AM,Game Time: 198.3139,Water Flow Sensor percentage changed From:7.3% To: 7.4%
Time: 09:37:53 AM,Game Time: 198.3139,Water Flow Sensor percentage changed From:12.6% To: 13.2%
Time: 09:37:53 AM,Game Time: 198.3473,Water Flow Sensor percentage changed From:13.2% To: 13.7%
Time: 09:37:53 AM,Game Time: 198.3806,Water Flow Sensor percentage changed From:3.4% To: 3.5%
Time: 09:37:53 AM,Game Time: 198.4139,Water Flow Sensor percentage changed From:7.4% To: 7.5%
Time: 09:37:53 AM,Game Time: 198.4473,Water Flow Sensor percentage changed From:7.1% To: 7.3%
Time: 09:37:53 AM,Game Time: 198.4806,Water Flow Sensor percentage changed From:6.2% To: 6.3%
Time: 09:37:53 AM,Game Time: 198.4806,Water Flow Sensor percentage changed From:13.7% To: 14.1%
Time: 09:37:53 AM,Game Time: 198.5473,Water Flow Sensor percentage changed From:14.1% To: 14.5%
Time: 09:37:54 AM,Game Time: 198.6472,Water Flow Sensor percentage changed From:7.5% To: 7.6%
Time: 09:37:54 AM,Game Time: 198.6806,Water Flow Sensor percentage changed From:7.6% To: 7.7%
Time: 09:37:54 AM,Game Time: 198.7473,Water Flow Sensor percentage changed From:3.5% To: 3.6%
Time: 09:37:54 AM,Game Time: 198.7473,Water Flow Sensor percentage changed From:14.5% To: 14.9%
Time: 09:37:54 AM,Game Time: 198.8472,Water Flow Sensor percentage changed From:7.7% To: 7.8%
Time: 09:37:54 AM,Game Time: 198.8472,Water Flow Sensor percentage changed From:14.9% To: 15%
Time: 09:37:54 AM,Game Time: 198.8806,Water Flow Sensor percentage changed From:15% To: 15.2%
Time: 09:37:54 AM,Game Time: 198.9806,Water Flow Sensor percentage changed From:6.3% To: 6.4%
Time: 09:37:54 AM,Game Time: 198.9806,Water Flow Sensor percentage changed From:7.8% To: 8%
Time: 09:37:54 AM,Game Time: 198.9806,Water Flow Sensor percentage changed From:7.3% To: 7.4%
